forks,watchers,contributors,commits,branches,open_issues,closed_issues,open_prs,closed_prs,size,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,stargazers
1265,95,254,25531,30,2145,11575,114,6804,153927,TypeScript,True,True,True,True,False,9565
8751,772,192,3723,47,228,1050,3,913,471372,,True,True,True,True,False,9563
807,179,19,2725,1,62,203,10,77,121209,TypeScript,True,True,True,False,False,9557
1486,82,383,12381,433,213,9609,62,7928,201577,Python,True,True,True,True,False,9554
783,85,15,93,3,201,91,16,32,31232,Jupyter Notebook,True,True,True,False,False,9553
2072,373,7,54,1,269,96,55,43,261,JavaScript,True,True,True,True,True,9547
1722,226,341,3105,24,401,2773,109,993,4649,Python,True,True,True,True,True,9547
2114,656,15,212,1,10,34,2,20,324,,True,True,True,True,True,9544
4586,426,328,14399,1,586,5462,150,3217,238093,C++,True,True,True,True,False,9540
984,1252,260,1994,12,2,774,1,648,2254,,True,True,True,False,False,9539
744,182,79,1255,39,110,1699,16,931,4957,Kotlin,True,False,True,False,True,9539
1546,287,77,2440,9,290,1059,11,421,79806,Python,True,True,True,True,True,9537
431,223,13,220,3,262,724,0,19,1270,C++,True,True,False,True,False,9535
239,27,93,1074,12,99,902,31,302,51658,TypeScript,True,True,True,True,True,9531
1292,129,51,736,7,412,512,36,204,25007,JavaScript,True,False,True,False,True,9529
1102,202,312,26079,38,1610,7967,113,4312,78322,Python,True,True,True,True,True,9529
371,117,59,861,14,401,1722,9,404,33482,Python,True,True,True,True,False,9529
449,65,55,212,18,34,340,13,237,19215,C#,True,False,True,False,True,9527
1831,164,14,204,1,20,38,1,23,11465,,True,True,True,True,False,9523
871,112,22,458,13,495,340,43,99,4321,Python,True,True,True,True,True,9523
8925,449,354,95741,42,4133,33566,477,18896,560955,Go,True,False,True,False,True,9522
3782,447,1,108,1,111,123,19,19,77,Java,True,True,True,True,False,9522
1119,102,363,2866,3,18,3909,2,1286,31821,Vue,True,True,True,False,False,9521
2424,360,256,13906,49,796,7024,2,3413,102877,Kotlin,True,True,True,True,True,9519
2098,389,17,1126,7,259,212,6,57,3580,Java,True,True,True,True,False,9519
2006,333,69,528,2,179,484,20,255,2436,Objective-C,True,False,True,False,True,9518
565,90,169,4418,254,296,2967,12,2041,135659,C,True,True,True,False,False,9517
1980,232,18,166,2,136,104,3,52,2614,Go,True,True,True,True,False,9516
644,115,125,2932,36,657,6613,38,3114,50792,Python,True,True,True,True,False,9516
461,107,22,239,34,40,184,12,79,241,C,True,True,True,True,False,9515
1774,300,24,1149,12,36,792,1,145,6025,Java,True,True,True,True,True,9512
3279,304,47,617,4,7,626,4,203,2371,PHP,True,True,True,True,False,9511
1538,217,91,1264,2,119,1146,7,326,4064,Swift,True,True,True,True,False,9509
2694,488,105,17258,13,180,1221,2,291,382252,Java,True,True,True,True,True,9503
463,223,22,527,4,36,132,2,70,5067,JavaScript,True,True,True,True,True,9503
205,44,69,3164,20,232,4178,16,3456,21226,Rust,True,False,True,False,True,9501
1056,229,29,361,14,131,427,7,67,694,C,True,True,True,True,False,9500
628,162,13,138,2,2,19,1,13,231,JavaScript,True,True,True,True,False,9500
840,237,43,478,1,11,234,3,124,4241,Shell,True,False,True,False,False,9498
939,129,254,2743,7,269,2490,13,1852,78506,Python,True,False,True,True,False,9495
2268,351,42,361,2,301,695,33,135,2861,Java,True,True,True,True,False,9495
1019,94,68,1169,18,263,1257,31,1130,7081,Python,True,True,True,False,False,9494
1090,77,19,844,8,12,518,6,183,3899,Rust,True,True,True,False,False,9493
1214,191,52,501,2,0,91,0,71,3190,JavaScript,True,True,True,True,False,9486
5650,584,5,75,2,10,746,0,634,572350,Python,True,False,True,True,True,9483
1759,610,44,330,1,20,81,3,68,24851,,True,True,True,True,False,9481
2527,365,35,788,6,27,123,7,97,508354,Jupyter Notebook,True,True,True,True,False,9481
1086,96,209,7942,10,258,2917,60,1924,63259,Python,True,True,True,False,True,9480
1741,328,325,63594,22,2696,13856,75,8947,503154,C,True,True,True,True,False,9476
